"","retrievalTime","title","ordering"
"78",2016-11-06 11:59:50,"Online PHP Coding Standards Fixer",18
"79",2016-11-06 11:59:50,"Ask HN: Overwhelmed with learning front-end, how do I proceed?",19
"80",2016-11-06 11:59:50,"Elon Musk thinks universal income is answer to automation taking human jobs",20
"81",2016-11-06 11:59:50,"Show HN: Make an app by adding JSON to this app",21
"82",2016-11-06 11:59:50,"In the Joints of Their Toes: A ruse that gave rise to the spiritualist movement",22
"83",2016-11-06 11:59:50,"Why I won't recommend Signal anymore",23
"84",2016-11-06 11:59:50,"Verifying the Substitution Cipher Folklore",24
"85",2016-11-06 11:59:50,"There’s Big Money to Be Made in Asteroid Mining",25
"86",2016-11-06 11:59:50,"Inside NORAD's Cheyenne Mountain Combat Center",26
"87",2016-11-06 11:59:50,"Deep in New Zealand",27
"88",2016-11-06 11:59:50,"Don’t Get Attached, It’s Just Luck. My Interviewing Advice and Tips",28
"89",2016-11-06 11:59:50,"Creating linked open data for 5000 works of art",29
"90",2016-11-06 11:59:50,"DeepMind and Blizzard to release StarCraft II as an AI research environment",30
