"","retrievalTime","title","ordering"
"71",2016-11-06 11:42:37,"Reservoirs are contributing 1.5% of global greenhouse gas emissions",11
"72",2016-11-06 11:42:37,"Tensions Flare in Silicon Valley Over Growth",12
"73",2016-11-06 11:42:37,"The X3DH Key Agreement Protocol",13
"74",2016-11-06 11:42:37,"Tech Jobs, Cheaper Housing: The New Silicon Cities",14
"75",2016-11-06 11:42:37,"How to contribute to an open source project on GitHub",15
"76",2016-11-06 11:42:37,"Online PHP Coding Standards Fixer",16
"77",2016-11-06 11:42:37,"PaperNIC – Open Source Document Management and Collaboration System",17
"78",2016-11-06 11:42:37,"Tensorflow and Deep Learning, Without a PhD, Martin Gorner, Google [video]",18
"79",2016-11-06 11:42:37,"Ask HN: Overwhelmed with learning front-end, how do I proceed?",19
"80",2016-11-06 11:42:37,"There’s Big Money to Be Made in Asteroid Mining",20
"81",2016-11-06 11:42:37,"Show HN: Make an app by adding JSON to this app",21
"82",2016-11-06 11:42:37,"In the Joints of Their Toes: A ruse that gave rise to the spiritualist movement",22
"83",2016-11-06 11:42:37,"Why I won't recommend Signal anymore",23
"84",2016-11-06 11:42:37,"Verifying the Substitution Cipher Folklore",24
"85",2016-11-06 11:42:37,"Deep in New Zealand",25
"86",2016-11-06 11:42:37,"Don’t Get Attached, It’s Just Luck. My Interviewing Advice and Tips",26
"87",2016-11-06 11:42:37,"Inside NORAD's Cheyenne Mountain Combat Center",27
"88",2016-11-06 11:42:37,"Creating linked open data for 5000 works of art",28
"89",2016-11-06 11:42:37,"Mars Opportunity Rover: Driving the Jet Propulsion Lab's Mars Rover, Again",29
"90",2016-11-06 11:42:37,"DeepMind and Blizzard to release StarCraft II as an AI research environment",30
"91",2016-11-06 11:42:40,"In scathing ruling, Federal Court says CSIS bulk data collection illegal",1
"92",2016-11-06 11:42:40,"Berlin Is Bringing Back Subway Trains from the 1950s",2
"93",2016-11-06 11:42:40,"Every Version of Voxel Quest",3
"94",2016-11-06 11:42:40,"Fighting Loneliness with Public Living Rooms",4
"95",2016-11-06 11:42:40,"Cylance Discloses Voting Machine Vulnerability",5
"96",2016-11-06 11:42:40,"Nyancat on the touchbar",6
"97",2016-11-06 11:42:40,"Why you should avoid LastPass",7
"98",2016-11-06 11:42:40,"Daiwa to adopt blockchain for Myanmar stock trading",8
"99",2016-11-06 11:42:40,"Nightmare Machine by MIT Media Lab",9
"100",2016-11-06 11:42:40,"The End of the General Purpose Operating System",10
"101",2016-11-06 11:42:40,"Reservoirs are contributing 1.5% of global greenhouse gas emissions",11
"102",2016-11-06 11:42:40,"Tensions Flare in Silicon Valley Over Growth",12
"103",2016-11-06 11:42:40,"The X3DH Key Agreement Protocol",13
"104",2016-11-06 11:42:40,"Tech Jobs, Cheaper Housing: The New Silicon Cities",14
"105",2016-11-06 11:42:40,"How to contribute to an open source project on GitHub",15
"106",2016-11-06 11:42:40,"Online PHP Coding Standards Fixer",16
"107",2016-11-06 11:42:40,"PaperNIC – Open Source Document Management and Collaboration System",17
"108",2016-11-06 11:42:40,"Tensorflow and Deep Learning, Without a PhD, Martin Gorner, Google [video]",18
"109",2016-11-06 11:42:40,"Ask HN: Overwhelmed with learning front-end, how do I proceed?",19
"110",2016-11-06 11:42:40,"There’s Big Money to Be Made in Asteroid Mining",20
"111",2016-11-06 11:42:40,"Show HN: Make an app by adding JSON to this app",21
"112",2016-11-06 11:42:40,"In the Joints of Their Toes: A ruse that gave rise to the spiritualist movement",22
"113",2016-11-06 11:42:40,"Why I won't recommend Signal anymore",23
"114",2016-11-06 11:42:40,"Verifying the Substitution Cipher Folklore",24
"115",2016-11-06 11:42:40,"Deep in New Zealand",25
"116",2016-11-06 11:42:40,"Don’t Get Attached, It’s Just Luck. My Interviewing Advice and Tips",26
"117",2016-11-06 11:42:40,"Inside NORAD's Cheyenne Mountain Combat Center",27
"118",2016-11-06 11:42:40,"Creating linked open data for 5000 works of art",28
"119",2016-11-06 11:42:40,"Mars Opportunity Rover: Driving the Jet Propulsion Lab's Mars Rover, Again",29
"120",2016-11-06 11:42:40,"DeepMind and Blizzard to release StarCraft II as an AI research environment",30
